Polaridad_Clustering,Topic_ID,Palabras_Clave,Descripcion
negativo,0,"keeps, greedy, queue, multiple, click, cannot, specific, unbearable, fact, waste","Anuncios Obligatorios"
negativo,1,"time, update, crashes, playback, podcast, rate, phone, frustrating, mobile, episodes","Crashes Generales"
negativo,2,"button, create, money, worse, bottom, lyrics, feature, stop, download, amount","Funciones de Pago y Mal Rediseño"
negativo,3,"recommendations, device, useless, disruptive, skips, annoying, phone, personalized, repetitive, payment","Recomendaciones y Anuncios"
negativo,4,"features, issue, account, service, devices, limited, money, everytime, internet, normal","Limitaciones del Plan Gratuito"
negativo,5,"shuffle, uninterrupted, smart, updates, membership, advertisements, rating, plan, help, bugs","Saturación Publicitaria y Modo Aleatorio Forzado"
negativo,6,"random, list, minute, samsung, offline, problem, certain, audio, fine, didnt","Errores del Modo Offline"
positivo,0,"choice, enjoyable, catalog, care, service, anytime, enjoy","Catalogo y Satisfacción General"
positivo,1,"interface, offline, podcasts, personalized, recommendations, time, mode, adfree, plenty, massive","Modo Offline y Podcasts"
positivo,2,"useful, favourite, queue, personal, worth, plans, affordable, extensive, internet, obscure","Calidad de Servicio Asequible"
positivo,3,"friends, cost, keeps, feature, lists, shuffle","Funciones Sociales"
positivo,4,"devices, podcasts, access, subscriber, seamless, option, enjoyable, downloads, lyrics, download","Funciones de Reproducción"
positivo,5,"recommendations, personalized, phone, variety, money, genres, wide, playing, pandora, genre","Algoritmo de Recomendación"
positivo,6,"reliable, platform, student, trouble, weekly, fast, playback, discover, bands, ease","Fiabilidad y Descubrimiento Musical"
